id,celeste,mightyno9,notes
G1a,4,2,"C: dash/wall-jump/coyote loop repeats even with juice stripped (documented core-loop design)."
G2a,1,2,
G2b,1,2,
1.1a,4,2,"C: each chapter (1-7+Core) introduces a new mechanic through to the end."
1.1b,4,2,"C: performative+cognitive+emotional challenge types present (e.g. Ch.6 panic sequence)."
1.1c,3,2,
1.2a,4,3,"C: dash/wall-jump fundamentals are prerequisites for later chapter mechanics and advanced tech."
1.2b,3,2,
1.3a,4,2?,"C: deaths are legible to a specific timing/input mistake. M?: floaty jump arc/absorb-dash hitbox looseness sometimes obscures cause of death (mechanical design fact, not review opinion)."
1.3b,4,2,"C: near-instant retry and visibly cleaner runs make improvement felt in play."
1.3c,3,2?,"C: chapter-clear screen shows time/deaths. M?: uncertain whether per-stage summary breaks down performance beyond time/score."
1.4a,4,2,"C: precision-platformer deaths vs clean dash chains are highly legible to a spectator."
1.4b,4,3,"C: dash-refill flash/chapter-clear fanfare attach to the skill-defining dash/wall-jump actions."
1.5a,3,2?,"M?: uncertain whether some absorbed weapons dominate the weakness chain, reducing others' value."
2.1a,1,3,
2.1b,4,3,"C: minimal in-loop decisions (route choice) require no pause."
2.2a,1,1,
2.2b,4,1?,"C: speedrun community actively argues route/tech (wavedash vs hyperdash). M?: little evidence of build/route argument culture; smaller, less contentious community."
2.3a,3,3,
2.3b,4,3,"C: no permadeath/compounding resource loss; a persistent choice can't silently ruin a run."
2.4a,3,2?,"M?: level paths fairly fixed with only minor execution variation, per typical design."
2.4b,4,1?,"C: unintended tech (wavedash, hyperdash, demo-dash) discovered and later embraced by devs in Farewell. M?: no strong evidence of a notable sequence-break/glitch culture."
2.5a,4,2,"C: strawberries, no-death runs, golden strawberries, B/C-sides are player-set goals."
2.5b,3,2,
2.6a,4,2,"C: dash+wall-jump+climb-stamina combo is a widely recognized, distinctive movement identity."
2.6b,3,1,
3.1a,4,2,"C: chapter design deliberately breathes between spikes, guaranteeing both fails and clears en route."
3.1b,3,3,
3.1c,3,1?,"M?: precision-timing calibration considered uneven given documented floaty-jump/hit-detection issues (mechanical, not review-derived)."
3.1d,4,1?,"C: hazards are clearly telegraphed and fair (color-coded spikes, wind-up cues). M?: some enemy attacks/hitboxes documented as inconsistent, reading as illegitimately advantaged."
3.2a,4,2,"C: near-zero-cost, near-instant respawn is a headline design feature."
3.2b,4,1?,"M?: checkpoint spacing in some stages forces replay of already-mastered sections."
3.2c,4,3,"C: assist mode + no resource lockouts prevent hopelessness."
3.3a,4,1?,"C: renowned deterministic, frame-consistent input handling (buffering/coyote time). M?: floaty jump physics and inconsistent absorb-dash hit detection undercut reliable input-outcome mapping."
3.3b,NA,NA,"C: no meaningful randomness in deterministic level design. M: also deterministic action-platforming, no meaningful randomness."
3.4a,3,2,
3.4b,4,2?,"C: pacing (breathing rooms between spikes) keeps demanding-but-not-overwhelming workload, a stated design goal. M?: some segments (e.g. instant-death hazards) may exceed comfortable workload."
3.4c,3,3,
3.5a,4,2,"C: next room/strawberry is always immediately visible as a reason to continue."
3.5b,4,3,"C: chapter ends/checkpoints are clean stopping points."
3.5c,4,2,"C: continuation pull is mastery-driven; no random-reward or dark-pattern compulsion loops."
4.1a,4,1?,"C: devs have documented tuned input buffering/coyote-time for tight response. M?: floaty/delayed-feeling jump and dash is a specifically documented control critique tied to physics tuning."
4.2a,4,3,"C: jump/dash always paired with immediate sound+visual."
4.2b,4,3,"C: clean, readable animation with minimal obscuring effects."
4.2c,3,3,
4.2d,4,2?,"C: restrained juice never obscures precision-platforming readability, essential to the genre. M?: cutscene spectacle sometimes runs ahead of core-gameplay clarity, though gameplay juice itself is restrained."
4.3a,4,1?,"C: momentum-based air control/dash arc is deliberately tuned and widely felt as weighty. M?: floaty jump lacking weight/momentum grounding is the most specifically documented physics critique."
4.3b,4,2,"C: pure movement (dash/wall-jump) is celebrated as satisfying with no goal at all (movement-tech videos)."
4.4a,4,3,"C: dash availability shown via hair color; hazards clearly color-coded."
4.4b,2?,3,"C?: sparse UI means little to inspect on demand; death-count in a menu is the main example."
4.5a,4,3,"C: acclaimed dynamic-layered soundtrack (Lena Raine)."
4.5b,4,1?,"C: cohesive pixel-art style, effects match consistently. M?: cel-shaded 3D character models against 2D backgrounds is a documented visual-pipeline mismatch."
4.5c,3,2,
4.5d,3,1?,"M?: voice-line repetitiveness/quality is a specifically documented critique of the voice direction."
5.1a,4,3,"C: short (clear room)/medium (chapter, strawberries)/long (summit, B/C-sides) goals run simultaneously."
5.2a,2?,2,"C?: within a chapter the eventual outcome (reaching the top) is rarely in doubt — uncertainty is more about death count than arc outcome."
5.2b,3,2,
5.3a,4,3,"C: each chapter's new mechanic changes how the game is played; almost no numeric progression exists at all."
5.4a,4,2,"C: chapters deliberately alternate intense challenge rooms with calmer narrative/exploration segments."
5.5a,4,1?,"C: iconic hard-won moments (Ch.9 Farewell, golden-strawberry runs) are widely and specifically remembered. M?: little evidence of engineered, specifically-remembered triumph moments."
6.1a,4,2,"C: new mechanics arrive every chapter through to the end (Core/Ch.7)."
6.1b,3,2?,"M?: collectible/upgrade pacing not well characterized; assumed moderate."
6.2a,4,1?,"C: unscripted emergent tech (wavedash, hyperdash, demo-dash) from dash+jump+wall interactions, later embraced by devs. M?: little evidence of comparable emergent, unscripted mechanic interactions."
6.2b,4,1?,"C: large community trades movement-tech discoveries. M?: little evidence of a comparable tech-trading community."
6.3a,3,2,
6.3b,4,3,"C: assist mode + fair telegraphing gives confidence any challenge is closable with effort."
6.4a,4,2,"C: worst case for experimentation is an instant, costless retry — exploration is safe and often reveals tech."
6.5a,4,2?,"C: hidden crystal hearts, secret rooms, golden strawberries, B/C-sides reward players who go looking. M?: some collectibles/secrets exist but a rich hidden-content culture is not well evidenced."
7.1a,4,2?,"C: fantasy of a determined climber overcoming struggle is delivered directly through precise athletic movement. M?: heroic-robot fantasy is undercut somewhat by floaty controls working against a 'precise machine' feel."
7.2a,4,1?,"C: frustration, triumph, anxiety (thematically reinforced), sadness and joy all occur in a normal playthrough. M?: narrative is comparatively shallow; emotional range mostly frustration/satisfaction from action gameplay."
7.2b,4,NA,"C: Ch.6 'Reflection' is a deliberately dread-filled sequence widely regarded as memorable. M: tonally light sci-fi adventure with no clear deliberate negative-valence peak."
7.3a,4,2,"C: being a skilled climber (fantasy) requires literally mastering the climbing mechanics (skill) — tightly bound both ways."
7.4a,1,1,
7.5a,4,1?,"C: widely reported as a game people reflect on after playing, tied to its mental-health themes. M?: niche following; little evidence players report thinking about it outside play."
8.1a,4,2?,"C: Prologue chapter teaches dash entirely through minimal-text, in-play environmental teaching. M?: relies more on explicit tutorial prompts/text early on, per typical console-action-game convention."
8.1b,4,3,"C: Prologue chapter is proportioned exactly to teach the novel dash mechanic, no more."
8.1c,3,3,
8.2a,4,3,"C: very little menu time; the game is play-dense."
8.3a,4,2?,"C: rules are consistent and legible; surprises come from creative combination of visible mechanics, not hidden unfairness. M?: inconsistent hit-detection can produce surprises from mechanical looseness rather than fair combination."
8.4a,4,1?,"C: near-instant respawn, frequent checkpoints, essentially zero loading. M?: checkpoint gaps and slower respawn/loading were a specifically documented friction point."
8.5a,4,2,"C: extensive assist mode (game speed, invincibility, infinite stamina, dash assist) broadens access without altering the default S1 experience."
8.6a,4,2?,"C: hazards are clearly telegraphed (color-coding, wind-up animation) ahead of requiring a response. M?: floaty/inconsistent physics sometimes makes deaths feel untelegraphed relative to design intent."
