id,celeste,mightyno9,notes
G1a,4,2?,"Celeste's dash/climb/jump loop repeats well even fully stripped; MN9's dash-absorb loop is plausible bare but confidence is low given widely reported execution issues"
G2a,1,3,
G2b,1,3,
1.1a,4,3,"Celeste adds a distinct new mechanic almost every chapter through Ch9; MN9 keeps unlocking weapons through most of its 8 stages"
1.1b,4,3,"Celeste clearly mixes performative+cognitive+emotional challenge; MN9 mixes performative+cognitive"
1.1c,3,2?,"Low confidence on MN9: little documented evidence of counter-situations punishing rote play"
1.2a,4,3,"Celeste's dash/climb scaffold later dream-dash and community-found tech; MN9's dash-absorb scaffolds later weapon use"
1.2b,3,2,
1.3a,4,2?,"MN9: reported hit-detection/feedback issues sometimes obscure the cause of a death; low confidence"
1.3b,3,3,
1.3c,3,3,
1.4a,4,2,"Celeste's dash-chaining/wavedashing looks dramatically different between novice and expert"
1.4b,4,3,"Celeste's strongest audiovisual payoff is on dash/wall-jump/climb chains, the skill-defining actions"
1.5a,3,2,
2.1a,1,3,
2.1b,3,3,
2.2a,2,3,
2.2b,4,1?,"Celeste has an active speedrun/tech community that argues routes (wavedash vs hyperdash); MN9 has much less such discourse, low confidence"
2.3a,3,3,
2.3b,4,4,"Neither game has a persistent build/economy that an early choice could silently ruin"
2.4a,3,3,
2.4b,4,1?,"Celeste's unintended tech (wavedash, hyperdash) is now celebrated and effectively embraced; MN9 is not known for celebrated sequence breaks, low confidence"
2.5a,4,2,"Celeste offers strawberries, golden strawberries, B/C-sides and speedrun goals; MN9 mainly offers rank/score chasing"
2.5b,3,1,
2.6a,4,1,"Celeste's dash+climb toolkit reads as its own distinct thing; MN9 is widely read as a Mega Man clone rather than a distinct identity"
2.6b,3,1,
3.1a,4,2?,"MN9's difficulty spikes are reported as inconsistent; unclear how much is deliberate design vs jank, low confidence"
3.1b,4,3,"Celeste's chapter/route/strawberry choices let a player self-set difficulty in real time"
3.1c,3,1,
3.1d,4,1?,"MN9: some hit-detection complaints suggest occasional illegitimate advantage; low confidence"
3.2a,4,2,"Celeste's near-instant respawn is a textbook example of low-cost, high-motivation retry"
3.2b,4,2?,"MN9's checkpoint spacing is reported as inconsistent across stages; low confidence"
3.2c,4,2?,"MN9 lacks a comparable assist-mode safety net; low confidence on true hopelessness risk for weaker players"
3.3a,4,1,"Celeste's control precision is its most praised design property; MN9 controls are widely reported as floaty/imprecise"
3.3b,NA,NA,"Neither game's core platforming uses meaningful randomness"
3.4a,3,1,
3.4b,4,2,"Some MN9 sections reportedly ask more precision than the controls reliably deliver"
3.4c,4,1,"MN9's forced 'Call' dialogue interruptions are reported as filler/unimportant"
3.5a,3,3,
3.5b,4,3,"Celeste's chapter/screen structure gives many clean stopping points"
3.5c,4,2,"Celeste's pull to continue is driven by mastery satisfaction, not a compulsion loop"
4.1a,4,1,"Celeste's coyote time/jump buffering is tightly tuned; MN9 is widely criticized for input lag"
4.2a,4,2,"MN9 has some reports of unresponsive/unacknowledged inputs"
4.2b,4,2,"MN9's dash-absorb VFX is sometimes reported as visually cluttered relative to the state change"
4.2c,3,3,
4.2d,4,2,"MN9's busier scenes are reported to obscure the action at times"
4.3a,4,1,"Celeste's dash/momentum physics are widely praised for weight; MN9's movement is widely called floaty"
4.3b,4,1,"Moving Madeline with no goal is famously pleasant; MN9's core movement feel was the game's most criticized aspect"
4.4a,4,3,"Celeste uses a minimal, legible HUD (stamina ring, dash color-swap on the character)"
4.4b,2,2,
4.5a,4,3,"Celeste's soundtrack (Lena Raine) is widely acclaimed"
4.5b,4,1,"MN9 was specifically criticized for its 3D character models clashing with flat 2.5D backgrounds"
4.5c,3,2,
4.5d,3,1,
5.1a,4,3,"Celeste clearly layers short (this screen) / medium (chapter, strawberries) / long (hearts, C-sides) goals simultaneously"
5.2a,3,2,
5.2b,3,2,
5.3a,4,3,"Celeste's per-chapter mechanics change how you play, not only numbers; there are no numeric stats to speak of"
5.4a,4,2,"Celeste alternates tension/release deliberately (e.g. chase sequences vs quieter climbing rooms)"
5.5a,4,2,"Celeste is widely known for engineering memorable hard-won-clear moments"
