id,celeste,mightyno9,notes
G1,4,2,"celeste 4: dash/jump/climb loop is tight and precise enough to carry engagement even with juice stripped (speedrun/challenge community proves the loop alone sustains repetition)"
G2,3,2,
1.1,4,2,"celeste 4: 9 chapters each add a distinct mechanic; advanced tech (wavedash/hyperdash) still being found by the community years post-release"
1.2,4,2,"celeste 4: dash+climb+walljump combine into branching tech (wavedash/hyperdash) that transfers to B/C-sides"
1.3,4,2,"celeste 4: exemplary death clarity, instant retry, visible death counter; mn9 2?: hit/hazard feedback occasionally unclear (camera, hitboxes) — lower confidence"
1.4,4,2,"celeste 4: speedrun/no-death community makes skilled play spectator-legible"
1.5,3,2,
2.1,3,2,
2.2,2,2,
2.3,2,2,
2.4,2,3,"mn9 3: Mega Man-formula boss-order and weapon choice gives real approach variety not present in Celeste's mostly single-path screens"
2.5,4,2,"celeste 4: Assist Mode + optional B/C-sides + strawberries give broad room for self-set goals within the target mastery/action profile"
2.6,4,2,"celeste 4: the dash is the game's iconic, recognizable mode of being — often used to describe the game itself"
3.1,4,2,"celeste 4: difficulty curve tuned per chapter, checkpoints calibrate segments, B-sides extend the wave for skilled players"
3.2,4,2,"celeste 4: near-instant respawn, tight checkpoints, minimal setback cost"
3.3,4,1,"celeste 4: renowned for buffering/coyote-time/corner-correction tuning ('extension of the hand'); mn9 1: dash momentum and animation locks reported to undermine reliable input-to-outcome mapping"
3.4,4,2,"celeste 4: essentially no dead time, tight single-screen segments keep workload high but bounded"
3.5,3,2,
4.1,4,1,"celeste 4: dash buffer, coyote time, corner correction all present and tuned; mn9 1: input lag / animation-locked dash widely reported as a design defect"
4.2,4,2,"celeste 4: hit-stop, particles, screen-shake layered with a respected ceiling; goal legibility (state change) reads before the flourish"
4.3,4,2,"celeste 4: dash/climb tech is pleasurable with no goal attached — passes the toy test (community trick videos exist purely for movement's own sake)"
4.4,3,2,
4.5,4,1,"celeste 4: acclaimed coherent pixel art with a score (Lena Raine) tightly tied to game feel; mn9 1: 3D character models composited over 2D backgrounds create a visible style clash, and the audio mix had a documented balance defect patched post-launch"
5.1,4,3,"celeste 4: screen-level, chapter-level, and full-clear+golden-strawberry goals all run simultaneously and are always visible"
5.2,2,2,
5.3,2,3,"mn9 3: Mega Man-formula boss-reward weapons meaningfully change how subsequent stages are played, more than Celeste's mostly-fixed core kit"
5.4,4,2,"celeste 4: deliberate tension/release rhythm across chapters, alternating platforming intensity with narrative beats"
5.5,4,2,"celeste 4: chapter-finale climbs (e.g. Ch.7 summit) are designed hard-won triumph peaks"
6.1,4,2,"celeste 4: a new mechanic is introduced nearly every chapter through to the end"
6.2,3,2,
6.3,3,2,
6.4,4,3,"celeste 4: hidden routes/tech experimentation is central to its speedrun and challenge community"
6.5,3,2,
7.1,4,2,"celeste 4: the literal and metaphorical mountain-climb fantasy is delivered directly through the core dash/climb mechanic"
7.2,4,1,"celeste 4: Chapter 6 'Reflection' mechanically stages an anxiety/panic beat — a designed negative-valence peak, not just narrative dressing; mn9 1: single-note action/adventure tone throughout"
7.3,4,2,"celeste 4: the climbing skill and the self-acceptance fantasy (Madeline/Badeline) are inseparable in both directions, passing Malone's test"
7.4,2,1,
7.5,4,1,"celeste 4: mental-health narrative throughline (anxiety, self-acceptance) is designed to linger past play; mn9 1: generic, largely forgettable plot content"
8.1,4,3,"celeste 4: each chapter's opening rooms teach that chapter's new mechanic by doing, calibrated to complexity, no forced stencils"
8.2,4,3,"celeste 4: minimal menus, near-instant restart keeps interface cost close to zero"
8.3,4,2,"celeste 4: consistent, clearly telegraphed hazard rules (color-coded danger) support a fully buildable mental model"
8.4,4,2,"celeste 4: instant respawn means no forced mechanical replay beyond the current short room"
8.5,4,2,"celeste 4: Assist Mode (game speed, invincibility, infinite stamina, dash-assist toggles) is unusually broad low-friction accessibility beyond a simple difficulty multiplier"
8.6,3,2,
